id,name,latitude,longitude,population,slope_risk,accessibility_risk,facility_access_risk,historical_event_risk,population_exposure
P001,Kedarpur,30.7346,79.0670,1240,82,91,88,90,92
P002,Gaurikund,30.6503,79.0433,980,70,78,75,72,86
P003,Sonprayag,30.6468,79.0450,1150,58,55,50,55,70
P004,Guptkashi,30.6308,79.0483,2100,40,35,30,40,55
P005,Phata,30.6872,79.0557,760,62,45,55,52,66
P006,Rampur,30.6322,78.9516,840,45,42,38,35,48
P007,Agastmuni,30.6064,79.2125,950,52,48,45,40,50
P008,Tilwara,30.6014,79.2319,820,35,30,25,28,40
P009,Rudraprayag,30.2844,79.0611,3200,42,40,35,45,52
P010,Maneri,30.6700,78.8580,680,38,36,32,30,38
P011,Sari,30.4281,78.9244,540,30,28,24,22,35
P012,Jhala,30.6900,78.9100,890,55,60,52,48,58
